NAME,FAMILY,TITLE,PRIORITY,BASELINE-IMPACT
AC-1,ACCESS CONTROL,ACCESS CONTROL POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH"
AC-2,ACCESS CONTROL,ACCOUNT MANAGEMENT,P1,"LOW,MODERATE,HIGH"
AC-2 (1),ACCESS CONTROL,AUTOMATED SYSTEM ACCOUNT MANAGEMENT,,"MODERATE,HIGH"
AC-2 (2),ACCESS CONTROL,REMOVAL OF TEMPORARY / EMERGENCY ACCOUNTS,,"MODERATE,HIGH"
AC-2 (3),ACCESS CONTROL,DISABLE INACTIVE ACCOUNTS,,"MODERATE,HIGH"
AC-2 (4),ACCESS CONTROL,AUTOMATED AUDIT ACTIONS,,"MODERATE,HIGH"
AC-2 (5),ACCESS CONTROL,INACTIVITY LOGOUT,,HIGH
AC-2 (6),ACCESS CONTROL,DYNAMIC PRIVILEGE MANAGEMENT,,
AC-2 (7),ACCESS CONTROL,ROLE-BASED SCHEMES,,
AC-2 (8),ACCESS CONTROL,DYNAMIC ACCOUNT CREATION,,
AC-2 (9),ACCESS CONTROL,RESTRICTIONS ON USE OF SHARED / GROUP ACCOUNTS,,
AC-2 (10),ACCESS CONTROL,SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION,,
AC-2 (11),ACCESS CONTROL,USAGE CONDITIONS,,HIGH
AC-2 (12),ACCESS CONTROL,ACCOUNT MONITORING / ATYPICAL USAGE,,HIGH
AC-2 (13),ACCESS CONTROL,DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,,HIGH
AC-3,ACCESS CONTROL,ACCESS ENFORCEMENT,P1,"LOW,MODERATE,HIGH"
AC-3 (2),ACCESS CONTROL,DUAL AUTHORIZATION,,
AC-3 (3),ACCESS CONTROL,MANDATORY ACCESS CONTROL,,
AC-3 (4),ACCESS CONTROL,DISCRETIONARY ACCESS CONTROL,,
AC-3 (5),ACCESS CONTROL,SECURITY-RELEVANT INFORMATION,,
AC-3 (7),ACCESS CONTROL,ROLE-BASED ACCESS CONTROL,,
AC-3 (8),ACCESS CONTROL,REVOCATION OF ACCESS AUTHORIZATIONS,,
AC-3 (9),ACCESS CONTROL,CONTROLLED RELEASE,,
AC-3 (10),ACCESS CONTROL,AUDITED OVERRIDE OF ACCESS CONTROL MECHANISMS,,
AC-4,ACCESS CONTROL,INFORMATION FLOW ENFORCEMENT,P1,"MODERATE,HIGH"
AC-4 (1),ACCESS CONTROL,OBJECT SECURITY ATTRIBUTES,,
AC-4 (2),ACCESS CONTROL,PROCESSING DOMAINS,,
AC-4 (3),ACCESS CONTROL,DYNAMIC INFORMATION FLOW CONTROL,,
AC-4 (4),ACCESS CONTROL,CONTENT CHECK ENCRYPTED INFORMATION,,
AC-4 (5),ACCESS CONTROL,EMBEDDED DATA TYPES,,
AC-4 (6),ACCESS CONTROL,METADATA,,
AC-4 (7),ACCESS CONTROL,ONE-WAY FLOW MECHANISMS,,
AC-4 (8),ACCESS CONTROL,SECURITY POLICY FILTERS,,
AC-4 (9),ACCESS CONTROL,HUMAN REVIEWS,,
AC-4 (10),ACCESS CONTROL,ENABLE / DISABLE SECURITY POLICY FILTERS,,
AC-4 (11),ACCESS CONTROL,CONFIGURATION OF SECURITY POLICY FILTERS,,
AC-4 (12),ACCESS CONTROL,DATA TYPE IDENTIFIERS,,
AC-4 (13),ACCESS CONTROL,DECOMPOSITION INTO POLICY-RELEVANT SUBCOMPONENTS,,
AC-4 (14),ACCESS CONTROL,SECURITY POLICY FILTER CONSTRAINTS,,
AC-4 (15),ACCESS CONTROL,DETECTION OF UNSANCTIONED INFORMATION,,
AC-4 (17),ACCESS CONTROL,DOMAIN AUTHENTICATION,,
AC-4 (18),ACCESS CONTROL,SECURITY ATTRIBUTE BINDING,,
AC-4 (19),ACCESS CONTROL,VALIDATION OF METADATA,,
AC-4 (20),ACCESS CONTROL,APPROVED SOLUTIONS,,
AC-4 (21),ACCESS CONTROL,PHYSICAL / LOGICAL SEPARATION OF INFORMATION FLOWS,,
AC-4 (22),ACCESS CONTROL,ACCESS ONLY,,
AC-5,ACCESS CONTROL,SEPARATION OF DUTIES,P1,"MODERATE,HIGH"
AC-6,ACCESS CONTROL,LEAST PRIVILEGE,P1,"MODERATE,HIGH"
AC-6 (1),ACCESS CONTROL,AUTHORIZE ACCESS TO SECURITY FUNCTIONS,,"MODERATE,HIGH"
AC-6 (2),ACCESS CONTROL,NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS,,"MODERATE,HIGH"
AC-6 (3),ACCESS CONTROL,NETWORK ACCESS TO PRIVILEGED COMMANDS,,HIGH
AC-6 (4),ACCESS CONTROL,SEPARATE PROCESSING DOMAINS,,
AC-6 (5),ACCESS CONTROL,PRIVILEGED ACCOUNTS,,"MODERATE,HIGH"
AC-6 (6),ACCESS CONTROL,PRIVILEGED ACCESS BY NON-ORGANIZATIONAL USERS,,
AC-6 (7),ACCESS CONTROL,REVIEW OF USER PRIVILEGES,,
AC-6 (8),ACCESS CONTROL,PRIVILEGE LEVELS FOR CODE EXECUTION,,
AC-6 (9),ACCESS CONTROL,AUDITING USE OF PRIVILEGED FUNCTIONS,,"MODERATE,HIGH"
